LAST SEEN   TYPE      REASON                         OBJECT                                        MESSAGE
13m         Normal    Scheduled                      pod/auth-users-c4b94d64b-t6k79                Successfully assigned securerag-hub/auth-users-c4b94d64b-t6k79 to securerag-dev-worker
13m         Normal    Scheduled                      pod/chatbot-manager-779b7cc44b-bskxh          Successfully assigned securerag-hub/chatbot-manager-779b7cc44b-bskxh to securerag-dev-worker
13m         Normal    ScalingReplicaSet              deployment/auth-users                         Scaled up replica set auth-users-c4b94d64b from 0 to 1
13m         Normal    ScalingReplicaSet              deployment/auth-users                         Scaled up replica set auth-users-799b8b5664 from 0 to 1
13m         Normal    Scheduled                      pod/audit-security-service-5fddbb654-n5ltk    Successfully assigned securerag-hub/audit-security-service-5fddbb654-n5ltk to securerag-dev-worker
13m         Normal    Scheduled                      pod/portal-web-6ff6cd4545-swmh5               Successfully assigned securerag-hub/portal-web-6ff6cd4545-swmh5 to securerag-dev-worker
13m         Normal    ScalingReplicaSet              deployment/conversation-service               Scaled up replica set conversation-service-64f99b44db from 0 to 1
13m         Normal    SuccessfulCreate               replicaset/chatbot-manager-976899cb8          Created pod: chatbot-manager-976899cb8-jprbg
13m         Normal    SuccessfulCreate               replicaset/conversation-service-64f99b44db    Created pod: conversation-service-64f99b44db-6n2vv
13m         Normal    Scheduled                      pod/conversation-service-64f99b44db-6n2vv     Successfully assigned securerag-hub/conversation-service-64f99b44db-6n2vv to securerag-dev-worker
13m         Normal    ScalingReplicaSet              deployment/chatbot-manager                    Scaled up replica set chatbot-manager-976899cb8 from 0 to 1
13m         Normal    Pulling                        pod/postgres-auth-867ddc6dc8-w9xgr            Pulling image "postgres:16-alpine"
13m         Normal    Scheduled                      pod/audit-security-service-b478dc875-b5s9d    Successfully assigned securerag-hub/audit-security-service-b478dc875-b5s9d to securerag-dev-worker
13m         Normal    Scheduled                      pod/chatbot-manager-976899cb8-jprbg           Successfully assigned securerag-hub/chatbot-manager-976899cb8-jprbg to securerag-dev-worker
13m         Normal    ScalingReplicaSet              deployment/audit-security-service             Scaled up replica set audit-security-service-b478dc875 from 0 to 1
13m         Normal    SuccessfulCreate               replicaset/audit-security-service-b478dc875   Created pod: audit-security-service-b478dc875-b5s9d
13m         Normal    Pulled                         pod/postgres-auth-867ddc6dc8-w9xgr            Successfully pulled image "postgres:16-alpine" in 4.79s (4.794s including waiting). Image size: 116039346 bytes.
12m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/portal-web            failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
12m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/portal-web            invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
10m         Normal    Pulling                        pod/portal-web-68d97f97f-2sjcd                Pulling image "localhost:5001/securerag-hub-portal-web:dev"
10m         Warning   Failed                         pod/portal-web-68d97f97f-2sjcd                Failed to pull image "localhost:5001/securerag-hub-portal-web:dev": failed to pull and unpack image "localhost:5001/securerag-hub-portal-web:dev": failed to resolve reference "localhost:5001/securerag-hub-portal-web:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-portal-web/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Warning   Failed                         pod/portal-web-68d97f97f-2sjcd                Error: ErrImagePull
10m         Warning   Failed                         pod/conversation-service-778479dbbf-wwfcx     Failed to pull image "localhost:5001/securerag-hub-conversation-service:dev": failed to pull and unpack image "localhost:5001/securerag-hub-conversation-service:dev": failed to resolve reference "localhost:5001/securerag-hub-conversation-service:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-conversation-service/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Normal    Pulling                        pod/conversation-service-778479dbbf-wwfcx     Pulling image "localhost:5001/securerag-hub-conversation-service:dev"
10m         Warning   Failed                         pod/conversation-service-778479dbbf-wwfcx     Error: ErrImagePull
10m         Warning   Failed                         pod/portal-web-6ff6cd4545-swmh5               Failed to pull image "localhost:5001/securerag-hub-portal-web:dev": failed to pull and unpack image "localhost:5001/securerag-hub-portal-web:dev": failed to resolve reference "localhost:5001/securerag-hub-portal-web:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-portal-web/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Warning   Failed                         pod/portal-web-6ff6cd4545-swmh5               Error: ErrImagePull
10m         Normal    Pulling                        pod/portal-web-6ff6cd4545-swmh5               Pulling image "localhost:5001/securerag-hub-portal-web:dev"
10m         Warning   Failed                         pod/auth-users-799b8b5664-whwzb               Failed to pull image "localhost:5001/securerag-hub-auth-users:dev": failed to pull and unpack image "localhost:5001/securerag-hub-auth-users:dev": failed to resolve reference "localhost:5001/securerag-hub-auth-users:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-auth-users/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Warning   Failed                         pod/auth-users-799b8b5664-whwzb               Error: ErrImagePull
10m         Normal    Pulling                        pod/auth-users-799b8b5664-whwzb               Pulling image "localhost:5001/securerag-hub-auth-users:dev"
10m         Normal    Pulling                        pod/audit-security-service-5fddbb654-n5ltk    Pulling image "localhost:5001/securerag-hub-audit-security-service:dev"
10m         Warning   Failed                         pod/audit-security-service-5fddbb654-n5ltk    Error: ErrImagePull
10m         Warning   Failed                         pod/audit-security-service-5fddbb654-n5ltk    Failed to pull image "localhost:5001/securerag-hub-audit-security-service:dev": failed to pull and unpack image "localhost:5001/securerag-hub-audit-security-service:dev": failed to resolve reference "localhost:5001/securerag-hub-audit-security-service:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-audit-security-service/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Normal    Pulling                        pod/auth-users-c4b94d64b-t6k79                Pulling image "localhost:5001/securerag-hub-auth-users:dev"
10m         Warning   Failed                         pod/auth-users-c4b94d64b-t6k79                Failed to pull image "localhost:5001/securerag-hub-auth-users:dev": failed to pull and unpack image "localhost:5001/securerag-hub-auth-users:dev": failed to resolve reference "localhost:5001/securerag-hub-auth-users:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-auth-users/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Warning   Failed                         pod/auth-users-c4b94d64b-t6k79                Error: ErrImagePull
10m         Warning   Failed                         pod/chatbot-manager-779b7cc44b-bskxh          Error: ErrImagePull
10m         Warning   Failed                         pod/chatbot-manager-779b7cc44b-bskxh          Failed to pull image "localhost:5001/securerag-hub-chatbot-manager:dev": failed to pull and unpack image "localhost:5001/securerag-hub-chatbot-manager:dev": failed to resolve reference "localhost:5001/securerag-hub-chatbot-manager:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-chatbot-manager/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Normal    Pulling                        pod/chatbot-manager-779b7cc44b-bskxh          Pulling image "localhost:5001/securerag-hub-chatbot-manager:dev"
10m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/portal-web            invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
10m         Normal    Pulling                        pod/conversation-service-64f99b44db-6n2vv     Pulling image "localhost:5001/securerag-hub-conversation-service:dev"
10m         Warning   Failed                         pod/conversation-service-64f99b44db-6n2vv     Error: ErrImagePull
10m         Warning   Failed                         pod/conversation-service-64f99b44db-6n2vv     Failed to pull image "localhost:5001/securerag-hub-conversation-service:dev": failed to pull and unpack image "localhost:5001/securerag-hub-conversation-service:dev": failed to resolve reference "localhost:5001/securerag-hub-conversation-service:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-conversation-service/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Normal    Pulling                        pod/chatbot-manager-976899cb8-jprbg           Pulling image "localhost:5001/securerag-hub-chatbot-manager:dev"
10m         Warning   Failed                         pod/chatbot-manager-976899cb8-jprbg           Error: ErrImagePull
10m         Warning   Failed                         pod/chatbot-manager-976899cb8-jprbg           Failed to pull image "localhost:5001/securerag-hub-chatbot-manager:dev": failed to pull and unpack image "localhost:5001/securerag-hub-chatbot-manager:dev": failed to resolve reference "localhost:5001/securerag-hub-chatbot-manager:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-chatbot-manager/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Normal    Pulling                        pod/audit-security-service-b478dc875-b5s9d    Pulling image "localhost:5001/securerag-hub-audit-security-service:dev"
10m         Warning   Failed                         pod/audit-security-service-b478dc875-b5s9d    Failed to pull image "localhost:5001/securerag-hub-audit-security-service:dev": failed to pull and unpack image "localhost:5001/securerag-hub-audit-security-service:dev": failed to resolve reference "localhost:5001/securerag-hub-audit-security-service:dev": failed to do request: Head "http://kind-registry:5000/v2/securerag-hub-audit-security-service/manifests/dev?ns=localhost%3A5001": dial tcp: lookup kind-registry on 172.18.0.1:53: server misbehaving
10m         Warning   Failed                         pod/audit-security-service-b478dc875-b5s9d    Error: ErrImagePull
7m59s       Normal    Scheduled                      pod/curl-smoke-1782031804                     Successfully assigned securerag-hub/curl-smoke-1782031804 to securerag-dev-worker
7m58s       Normal    Pulling                        pod/curl-smoke-1782031804                     Pulling image "curlimages/curl:8.11.1"
7m56s       Normal    Started                        pod/curl-smoke-1782031804                     Started container curl-smoke-1782031804
7m56s       Normal    Created                        pod/curl-smoke-1782031804                     Created container: curl-smoke-1782031804
7m56s       Normal    Pulled                         pod/curl-smoke-1782031804                     Successfully pulled image "curlimages/curl:8.11.1" in 2.185s (2.185s including waiting). Image size: 9560620 bytes.
7m23s       Normal    Created                        pod/curl-sec-smoke-1782032139                 Created container: curl-sec-smoke-1782032139
7m23s       Normal    Pulled                         pod/curl-sec-smoke-1782032139                 Container image "curlimages/curl:8.11.1" already present on machine
7m23s       Normal    Scheduled                      pod/curl-sec-smoke-1782032139                 Successfully assigned securerag-hub/curl-sec-smoke-1782032139 to securerag-dev-worker
7m22s       Normal    Started                        pod/curl-sec-smoke-1782032139                 Started container curl-sec-smoke-1782032139
6m50s       Normal    Scheduled                      pod/e2e-functional-check-1782032173           Successfully assigned securerag-hub/e2e-functional-check-1782032173 to securerag-dev-worker
6m49s       Normal    Pulled                         pod/e2e-functional-check-1782032173           Container image "curlimages/curl:8.11.1" already present on machine
6m49s       Normal    Created                        pod/e2e-functional-check-1782032173           Created container: e2e-functional-check-1782032173
6m49s       Normal    Started                        pod/e2e-functional-check-1782032173           Started container e2e-functional-check-1782032173
3m11s       Normal    BackOff                        pod/auth-users-c4b94d64b-t6k79                Back-off pulling image "localhost:5001/securerag-hub-auth-users:dev"
3m9s        Normal    BackOff                        pod/audit-security-service-5fddbb654-n5ltk    Back-off pulling image "localhost:5001/securerag-hub-audit-security-service:dev"
3m9s        Warning   Failed                         pod/audit-security-service-5fddbb654-n5ltk    Error: ImagePullBackOff
3m8s        Normal    BackOff                        pod/conversation-service-778479dbbf-wwfcx     Back-off pulling image "localhost:5001/securerag-hub-conversation-service:dev"
3m5s        Normal    BackOff                        pod/portal-web-6ff6cd4545-swmh5               Back-off pulling image "localhost:5001/securerag-hub-portal-web:dev"
3m5s        Warning   Failed                         pod/portal-web-6ff6cd4545-swmh5               Error: ImagePullBackOff
3m4s        Normal    BackOff                        pod/chatbot-manager-976899cb8-jprbg           Back-off pulling image "localhost:5001/securerag-hub-chatbot-manager:dev"
3m4s        Warning   Failed                         pod/auth-users-799b8b5664-whwzb               Error: ImagePullBackOff
3m4s        Normal    BackOff                        pod/conversation-service-64f99b44db-6n2vv     Back-off pulling image "localhost:5001/securerag-hub-conversation-service:dev"
3m4s        Warning   Failed                         pod/chatbot-manager-976899cb8-jprbg           Error: ImagePullBackOff
3m4s        Warning   Failed                         pod/conversation-service-64f99b44db-6n2vv     Error: ImagePullBackOff
3m4s        Normal    BackOff                        pod/auth-users-799b8b5664-whwzb               Back-off pulling image "localhost:5001/securerag-hub-auth-users:dev"
3m3s        Normal    BackOff                        pod/portal-web-68d97f97f-2sjcd                Back-off pulling image "localhost:5001/securerag-hub-portal-web:dev"
3m3s        Warning   Failed                         pod/portal-web-68d97f97f-2sjcd                Error: ImagePullBackOff
3m3s        Warning   Failed                         pod/chatbot-manager-779b7cc44b-bskxh          Error: ImagePullBackOff
3m3s        Normal    BackOff                        pod/chatbot-manager-779b7cc44b-bskxh          Back-off pulling image "localhost:5001/securerag-hub-chatbot-manager:dev"
3m2s        Warning   Failed                         pod/audit-security-service-b478dc875-b5s9d    Error: ImagePullBackOff
3m2s        Normal    BackOff                        pod/audit-security-service-b478dc875-b5s9d    Back-off pulling image "localhost:5001/securerag-hub-audit-security-service:dev"
3m1s        Normal    Pulled                         pod/postgres-auth-867ddc6dc8-w9xgr            Container image "postgres:16-alpine" already present on machine
3m1s        Warning   Failed                         pod/postgres-auth-867ddc6dc8-w9xgr            Error: secret "securerag-common-secrets" not found
2m57s       Warning   FailedGetResourceMetric        horizontalpodautoscaler/portal-web            failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
2m56s       Warning   Failed                         pod/auth-users-c4b94d64b-t6k79                Error: ImagePullBackOff
2m55s       Warning   Failed                         pod/conversation-service-778479dbbf-wwfcx     Error: ImagePullBackOff
